month,active_subscribers,churned_subscribers,monthly_churn_rate,monthly_churn_rate_pct
2024-07-01,172,8,0.0465116279069767,4.65
2024-08-01,355,14,0.0394366197183098,3.94
2024-09-01,563,38,0.0674955595026643,6.75
2024-10-01,769,36,0.0468140442132639,4.68
2024-11-01,971,52,0.0535530381050463,5.36
2024-12-01,1192,54,0.0453020134228187,4.53
2025-01-01,1379,77,0.0558375634517766,5.58
2025-02-01,1546,81,0.0523932729624838,5.24
2025-03-01,1742,103,0.0591274397244546,5.91
2025-04-01,1892,98,0.0517970401691331,5.18
2025-05-01,2078,99,0.0476419634263715,4.76
2025-06-01,2268,133,0.0586419753086419,5.86
2025-07-01,2408,129,0.0535714285714285,5.36
2025-08-01,2571,161,0.0626215480357837,6.26
2025-09-01,2692,156,0.0579494799405646,5.79
2025-10-01,2827,174,0.0615493455960382,6.15
2025-11-01,2648,196,0.0740181268882175,7.4
2025-12-01,2452,159,0.0648450244698205,6.48
